"","x"
"D1.3.3_11","In your opinion, what do you think was the reason behind firing you? My appearance"
"D1.3.3_12","In your opinion, what do you think was the reason behind firing you? Other"
"D1.4","If you felt that firing you was unreasonable, did you contact/appeal to anyone or any institution?"
"D2","Have your collegue fired from the job because of giving birth to baby during last 5 years?"
"E1","Do you have any additional compensation, benefits provided by your employer "
"E1.1_1","What are the compensations/benefits? Mobile phone provided by the employer"
"E1.1_2","What are the compensations/benefits? Usage of mobile phone "
"E1.1_3","What are the compensations/benefits? Possibility to use company’s car"
"E1.1_4","What are the compensations/benefits? Compensation of using personal car"
"E1.1_5","What are the compensations/benefits? Free transportation to work"
"E1.1_6","What are the compensations/benefits? Lunch or other course of food provided by the employer"
"E1.1_7","What are the compensations/benefits? Health insurance"
"E1.1_8","What are the compensations/benefits? Trainings"
"E1.1_9","What are the compensations/benefits? Going abroad / business trips to foreign countries"
"E1.1_10","What are the compensations/benefits? Premia"
"E1.1_11","What are the compensations/benefits? Bonus"
"E1.1_12","What are the compensations/benefits? other"
"E2_1","How many times have you got any PREMIA during last year?"
"E2_2","How many times have you got any BONUSES during last year?"
"E3_1","The amount of my salary is fair"
"E3_2","The way my employer promotes employees is fair"
"E3_3","Men and women have equal opportunities for promotion"
"E3_4","Men and women, who make the same job (who are employed in same position) get paid equally"
"E3_5","Men and women have equal opportunities  for wage increase "
"E3_6","Men and women have equal opportunities for compensations/ benefits"
"E3_7","Men and women have equal opportunities for bonuses"
"F1_1","If you have had to be absent from your work due to your child’s or close family member’s illness, how has it been taken in your workplace? Manager(s)"
"F1_2","If you have had to be absent from your work due to your child’s or close family member’s illness, how has it been taken in your workplace? Colleagues"
"F2_1","Do you feel that your current employer has ever treated you unrightfully in following matters? Division of work-related tasks"
"F2_2","Do you feel that your current employer has ever treated you unrightfully in following matters? Salary wise"
"F2_3","Do you feel that your current employer has ever treated you unrightfully in following matters? In providing facilities and equipment for work"
"F2_4","Do you feel that your current employer has ever treated you unrightfully in following matters? When planning vacation"
"F2_5","Do you feel that your current employer has ever treated you unrightfully in following matters? In compiling work schedule  (in case of working in shifts)"
"F2_6","Do you feel that your current employer has ever treated you unrightfully in following matters? Providing trainings"
"F2_7","Do you feel that your current employer has ever treated you unrightfully in following matters? In recruitment process"
"F2_8","Do you feel that your current employer has ever treated you unrightfully in following matters? Working hours "
"F3","Have you been asked to work over-time?"
"F3.1","Have those tasks been compensated?"
"F4","If you have wanted to be or you have been on parental leave, how your employer has taken it?"
"G1_1","On job interview potential employer asks woman about personal life"
"G1_2","Empoyer fired one after he/she discovers she is pregnant"
"G1_3","coworkers doing the same job have different salary"
"G1_4","Employer decides refuse to senf woman one week training abroad only because she has small kid (although woman wants to go)"
"G1_5","Employer doesn't want to have woman mechanic in the office because thinks that she has no technical skills."
"G2","Have you ever been harassed in your workplace? "
"G3","Have you been harassed in your workplace in last 12 months? "
"G4_1","Would you consider it unpleasant if someone in your workplace would behave like this: comments on your appearance or your body"
"G4_2","Would you consider it unpleasant if someone in your workplace would behave like this: tells you or in the presence of you suggestive jokes of a sexual nature"
"G4_3","Would you consider it unpleasant if someone in your workplace would behave like this: comments on your private life or your marital status"
"G4_4","Would you consider it unpleasant if someone in your workplace would behave like this: refers to you or calls you with a nickname of a sexual nature?"
"G4_5","Would you consider it unpleasant if someone in your workplace would behave like this: comments your sexual life"
"G4_6","Would you consider it unpleasant if someone in your workplace would behave like this: suggests you to spend your spare time with him/her although you have refused previously"
"G4_7","Would you consider it unpleasant if someone in your workplace would behave like this: uses obscene gestures or sounds when talking to you"
"G4_8","Would you consider it unpleasant if someone in your workplace would behave like this: sends you mail or text messages of sexual nature"
"G4_9","Would you consider it unpleasant if someone in your workplace would behave like this: sends you personal mail or text messages (unrelated to your work), which makes you feel uncomfortable"
"G4_10","Would you consider it unpleasant if someone in your workplace would behave like this: touches your intimate parts of body (i.e your bottom, breasts, etc) "
"G4_11","Would you consider it unpleasant if someone in your workplace would behave like this: touches you on purpose from other body parts (i.e hand, shoulder, back) in a situation where touching is unnecessary"
"G4_12","Would you consider it unpleasant if someone in your workplace would behave like this: proposes to have sex with him/her"
"G4_13","Would you consider it unpleasant if someone in your workplace would behave like this: forces to have sex with him/her"
"G4_14","Would you consider it unpleasant if someone in your workplace would behave like this: refuses to give you responsibility or work-related tasks because you are a man/woman"
"G4_15","Would you consider it unpleasant if someone in your workplace would behave like this: gives you additional tasks, which are not related to your work, because you are a man/woman  (i.e moving furniture, making coffee)"
"G4_16","Would you consider it unpleasant if someone in your workplace would behave like this: Leaves your suggestions or opinions  uncountable, because you are a man/woman"
"G5_1","If you would have to deal with such behaviour (listed in previous question), what would you do? I don't know"
"G5_2","If you would have to deal with such behaviour (listed in previous question), what would you do? I would probably try to deal with the situation myself"
"G5_3","If you would have to deal with such behaviour (listed in previous question), what would you do? I would probably tell my manager"
"G5_4","If you would have to deal with such behaviour (listed in previous question), what would you do? I would probably tell the police"
"G5_5","If you would have to deal with such behaviour (listed in previous question), what would you do? I would probably tell to my colleagues"
"G5_6","If you would have to deal with such behaviour (listed in previous question), what would you do? I would probably not do anything"
"G5_7","If you would have to deal with such behaviour (listed in previous question), what would you do? I would tell the trade union representatives"
"G5_8","If you would have to deal with such behaviour (listed in previous question), what would you do? I would quit the job"
"G5_9","If you would have to deal with such behaviour (listed in previous question), what would you do? Something else"
"G6","Does your organization/company have any internal procedure rules, which prohibit such behaviour (listed before) and which you could refer to in case such situation(s) would happen to you? "
"G7_1","In last 12 months has someone in your workplace done something like: commented on your appearance or your body"
"G7_2","In last 12 months has someone in your workplace done something like: told to you or in the presence of you suggestive jokes of a sexual nature"
"G7_3","In last 12 months has someone in your workplace done something like: commented on your private life or your marital status"
"G7_4","In last 12 months has someone in your workplace done something like: referred to you or called you with a nickname of a sexual nature"
"G7_5","In last 12 months has someone in your workplace done something like Commented your sexual life?"
"G7_6","In last 12 months has someone in your workplace done something like: suggested you to spend your spare time with him/her although you have refused previously (or asked you to come on a date)"
"G7_7","In last 12 months has someone in your workplace done something like: used obscene gestures or sounds when talking to you"
"G7_8","In last 12 months has someone in your workplace done something like: Sent you mail or text messages of sexual nature "
"G7_9","In last 12 months has someone in your workplace done something like: Sent you personal mail or text messages (unrelated to your work), which made you feel uncomfortable"
"G7_10","In last 12 months has someone in your workplace done something like: Touched your intimate parts of body (i.e your bottom, breasts, etc) "
"G7_11","In last 12 months has someone in your workplace done something like: Touched you on purpose from other body parts (i.e hand, shoulder, back) in a situation where touching was unnecessary"
"G7_12","In last 12 months has someone in your workplace done something like: Proposed to have sex with him/her"
"G7_13","In last 12 months has someone in your workplace done something like: Forced to have sex with him/her"
"G7_14","In last 12 months has someone in your workplace done something like: Refused to give you responsibility or work-related tasks because you are a man/woman"
"G7_15","In last 12 months has someone in your workplace done something like: Given you additional tasks, which are not related to your work, because you are a man/woman  (i.e moving furniture, making coffee)"
"G7_16","In last 12 months has someone in your workplace done something like: Left your suggestions or opinions  uncountable, because you are a man/woman"
"G8","Was this situation(s) unpleasant for you?"
"G8.1","Did you feel during or after the incident that it was somehow your fault?"
"G8.2","Please think of the most unpleasant situation listed in question G6 which has happened to you during last 12 months. How many times these situations have occurred in last 12 months? "
"G8.3","Have you talked about this situation to anyone?"
"G8.3.1_1","To whom you told about this situation? Friend, acquaintance"
"G8.3.1_2","To whom you told about this situation? Colleague"
"G8.3.1_3","To whom you told about this situation? Family member"
"G8.3.1_4","To whom you told about this situation? Police"
"G8.3.1_5","To whom you told about this situation? My manager"
"G8.3.1_6","To whom you told about this situation? Psychologist"
"G8.3.1_7","To whom you told about this situation? Priest"
"G8.3.1_8","To whom you told about this situation? someone else"
"G8.3.2_1","Why didn’t you tell about this situation? I was ashamed"
"G8.3.2_2","Why didn’t you tell about this situation? Because I’m afraid of losing my job"
"G8.3.2_3","Why didn’t you tell about this situation? I did not want to"
"G8.3.2_4","Why didn’t you tell about this situation? I think I have to take care of it myself"
"G8.3.2_5","Why didn’t you tell about this situation? other"
"G8.4_1","Who behaved like that with you? Male manager or a colleague on a higher position"
"G8.4_2","Who behaved like that with you? Female manager or a colleague on a higher position "
"G8.4_3","Who behaved like that with you? Male colleague who works in same position "
"G8.4_4","Who behaved like that with you? Female colleague who works in same position "
"G8.4_5","Who behaved like that with you? Male colleague on a lower position "
"G8.4_6","Who behaved like that with you? Female colleague on a lower position "
"G8.4_7","Who behaved like that with you? Male client, patient, student, or other "
"G8.4_8","Who behaved like that with you? Female client, patient, student, or other "
"G8.4_9","Who behaved like that with you? Male corporate (cooperation) partner, who is not from your company or institution "
"G8.4_10","Who behaved like that with you? Female corporate (cooperation) partner, who is not from your company or institution "
"G8.4_11","Who behaved like that with you? other"
"H1","Gender"
"H2","Age"
"H3","Place of residence"
"H4_1","How many years (full-time equivalent) have you been in formal education?"
"H4_2","I have no formal education"
"H4.1","What is the highest level of education that you have attained?"
"H5","What is your current legal marital status?"
"H6","Ethic group"
"H7","Religion"
"H8","What is the average range of your salary (net)?"
"H9","What is the average range of your spouse's salary (net)?"
"H10_1","Including yourself, how many people – including children – usually live in your household? Adults of 18 years and older "
"H10_2","Including yourself, how many people – including children – usually live in your household? Children between 7-17 years of age "
"H10_3","Including yourself, how many people – including children – usually live in your household? Children up to the age of 6"
"H10_4","Including yourself, how many people – including children – usually live in your household? in total"
"I1_1",""
"I1_2",""
"I1_3",""
"I2_1",""
"I2_2",""
"I2_3",""
"I2_4",""
"I2_5",""
"I2_6",""
"I2_7",""
"I2_8",""
"Envelope",""
"reg_weit","the region of sampling"
"gender_wei","Gender"
"age_wei","Age"
"weight",""
"filter_$","N<>VAR00003 (FILTER)"
"PrimaryLast","Indicator of each last matching case as Primary"
