"","x"
"Q5_6","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis monawileobis kategoriaSi? - arc erTi CamoTvlilTagan;"
"Q5_7","bavSvis uflebaTa konvenciis mixedviT ra uflebebi Sedis monawileobis kategoriaSi? - ar vici/miWirs pasuxis gacema"
"Q6","bavSvis uflebaTa konvenciis mixedviT ra asakamde iTvleba mozardi bavSvad?"
"Q7_1","gTxovT gvipasuxoT, CamoTvlilTagan, romel dokumentebSi aris aRwerili moqalaqis uflebebi da movaleobebi? - adamianis uflebaTa sayovelTao deklaracia;"
"Q7_2","gTxovT gvipasuxoT, CamoTvlilTagan, romel dokumentebSi aris aRwerili moqalaqis uflebebi da movaleobebi? - bavSvis uflebaTa konvencia;"
"Q7_3","gTxovT gvipasuxoT, CamoTvlilTagan, romel dokumentebSi aris aRwerili moqalaqis uflebebi da movaleobebi? - uflebaTa bili adamianisaTvis bunebiT miniWebuli Tavisuflebebis Sesaxeb;"
"Q7_4","gTxovT gvipasuxoT, CamoTvlilTagan, romel dokumentebSi aris aRwerili moqalaqis uflebebi da movaleobebi? - saqarTvelos konstitucia;"
"Q7_5","gTxovT gvipasuxoT, CamoTvlilTagan, romel dokumentebSi aris aRwerili moqalaqis uflebebi da movaleobebi? - kiotos protokoli;"
"Q7_6","gTxovT gvipasuxoT, CamoTvlilTagan, romel dokumentebSi aris aRwerili moqalaqis uflebebi da movaleobebi? - arcerTi CamoTvlilTagan;"
"Q7_7","gTxovT gvipasuxoT, CamoTvlilTagan, romel dokumentebSi aris aRwerili moqalaqis uflebebi da movaleobebi? - ar vici/miWirs pasuxis gacema"
"Q8_R1","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs sicocxlis ufleba"
"Q8_R2","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs ufleba aravin awamos"
"Q8_R3","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs ufleba aravin aiZulebdes Sromas"
"Q8_R4","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs Tavisuflebisa da xelSeuxeblobis ufleba"
"Q8_R5","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs samarTliani sasamarTlo ganxilvis ufleba"
"Q8_R6","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs ufleba ar gaasamarTlon kanonis gareSe"
"Q8_R7","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs piradi da ojaxuri cxovrebis pativiscemis ufleba"
"Q8_R8","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs azris gamoxatvis, sindisisa da religiis Tavisufleba"
"Q8_R9","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs Sekrebisa da gaerTianebis Tavisufleba"
"Q8_R10","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs qorwinebis ufleba"
"Q8_R11","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs ganqorwinebis ufleba"
"Q8_R12","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela adamians aqvs ufleba ar ganicdides raime niSniT (eTnikuri, sqesi, asaki, religia, a.S.) diskriminacias"
"Q8_R13","gTxovT gvipasuxoT, ramdenad eTanxmebiT qvemoT CamoTvlil mosazrebebs adamianis uflebebisa da Tavisuflebebis Sesaxeb - yvela ufleba TanabarmniSvnelovania da ar eniWeba upiratesoba romelime uflebas sxvasTan SedarebiT"
"Q9_1","gTxovT gvipasuxoT, ra aris Tqveni moqalaqeobrivi movaleobebi? - kanonmorCileba;"
"Q9_2","gTxovT gvipasuxoT, ra aris Tqveni moqalaqeobrivi movaleobebi? - ganaTlebis miReba;"
"Q9_3","gTxovT gvipasuxoT, ra aris Tqveni moqalaqeobrivi movaleobebi? - arCevnebSi monawileobis miReba;"
"Q9_4","gTxovT gvipasuxoT, ra aris Tqveni moqalaqeobrivi movaleobebi? - Sexedulebebis Riad gamoxatva;"
"Q9_5","gTxovT gvipasuxoT, ra aris Tqveni moqalaqeobrivi movaleobebi? - gadasaxadebis gadaxda;"
"Q9_6","gTxovT gvipasuxoT, ra aris Tqveni moqalaqeobrivi movaleobebi? - arc erTi CamoTvlilTagan;"
"Q9_7","gTxovT gvipasuxoT, ra aris Tqveni moqalaqeobrivi movaleobebi? - ar vici/miWirs pasuxis gacema"
"Q10","rogor fiqrobT, aqvT Tu ara axalgazrdebs ufleba monawileoba miiRon iseTi sakiTxebis gadaWraSi rac maT exebaT?"
"Q11","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba axalgazrdebTan dakavSirebul sakiTxebze gadawyvetilebis miRebis procesSi (Tundac formalurad)?"
"Q12","ramdenad iRebdiT monawileobas gadawyvetilebis miRebis procesSi?"
"Q13","iyenebT Tu ara onlain-sivrces politikur, socialur, ekonomikur Tu sxva saxelmwifo mniSvnelobis sakiTxebTan dakavSirebiT sakuTari azris gamosaxatavad?"
"Q14","miiReT Tu ara monawileoba 2012 wlis centralur arCevnebSi?"
"Q15","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba moxaliseobriv aqtivobebSi saqarTveloSi an/da sazRvargareT?"
"Q16_1","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - antidiskriminacia;"
"Q16_2","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - SezRuduli SesaZleblobebis mqone adamianebis daxmareba;"
"Q16_3","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - kultura da xelovneba;"
"Q16_4","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - umciresobebis integracia;"
"Q16_5","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - bavSvebis da axalgazrdebis dasveneba;"
"Q16_6","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - konfliqtis Semdgomi reabilitacia;"
"Q16_7","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - soflis da regionebis ganviTareba;"
"Q16_8","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - axalgazrduli politika;"
"Q16_9","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - media da komunikacia/axalgazrdebis informireba;"
"Q16_10","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - sporti;"
"Q16_11","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - aqtivobebi bunebaSi;"
"Q16_12","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - jandacva;"
"Q16_13","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - garemos dacva;"
"Q16_14","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - cxovelebis dacva;"
"Q16_15","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - formaluri ganaTleba;"
"Q16_16","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - araformaluri ganaTleba;"
"Q16_17","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - sxva"
"Q16_O","ra sferos ganekuTvneboda aRniSnuli moxaliseobrivi saqmianoba? - sxva (teqsti)"
"Q17_Code","saSualod ra sixSiriT iyaviT dakavebuli aRniSnuli moxaliseobrivi saqmianobiT? - yvelaze xSiri saqmianobis kodi"
"Q17","saSualod ra sixSiriT iyaviT dakavebuli aRniSnuli moxaliseobrivi saqmianobiT?"
"Q18","saSualod ra xangrZlivobiT iyaviT dakavebuli aRniSnuli moxaliseobrivi saqmianobiT dReSi?"
"Q19_1","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba SemoqmedebiT-samoyvarulo xelovnebis RonisZiebebSi? Tu diax, romel RonisZiebebSi? - musikalur instrumentze dakvra;"
"Q19_2","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba SemoqmedebiT-samoyvarulo xelovnebis RonisZiebebSi? Tu diax, romel RonisZiebebSi? - simRera;"
"Q19_3","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba SemoqmedebiT-samoyvarulo xelovnebis RonisZiebebSi? Tu diax, romel RonisZiebebSi? - cekva;"
"Q19_4","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba SemoqmedebiT-samoyvarulo xelovnebis RonisZiebebSi? Tu diax, romel RonisZiebebSi? - rolis Sesruleba;"
"Q19_5","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba SemoqmedebiT-samoyvarulo xelovnebis RonisZiebebSi? Tu diax, romel RonisZiebebSi? - mxatvruli nawarmoebis dawera;"
"Q19_6","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba SemoqmedebiT-samoyvarulo xelovnebis RonisZiebebSi? Tu diax, romel RonisZiebebSi? - fotografia;"
"Q19_7","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba SemoqmedebiT-samoyvarulo xelovnebis RonisZiebebSi? Tu diax, romel RonisZiebebSi? - filmis gadaReba;"
"Q19_8","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba SemoqmedebiT-samoyvarulo xelovnebis RonisZiebebSi? Tu diax, romel RonisZiebebSi? - sxva"
"Q19_9","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba SemoqmedebiT-samoyvarulo xelovnebis RonisZiebebSi? Tu diax, romel RonisZiebebSi? - ar mimiRia msgavs RonisZiebebSi monawileoba"
"Q19_O","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba SemoqmedebiT-samoyvarulo xelovnebis RonisZiebebSi? Tu diax, romel RonisZiebebSi? - sxva (teqsti)"
"Q20_1","gasuli 12 Tvis ganmavlobaSi daeswariT Tu ara raime kulturul RonisZiebas? Tu diax, romel kulturul RonisZiebas? - vewvie muzeums an galereas;"
"Q20_2","gasuli 12 Tvis ganmavlobaSi daeswariT Tu ara raime kulturul RonisZiebas? Tu diax, romel kulturul RonisZiebas? - viyavi kinoSi;"
"Q20_3","gasuli 12 Tvis ganmavlobaSi daeswariT Tu ara raime kulturul RonisZiebas? Tu diax, romel kulturul RonisZiebas? - viyavi TeatrSi (speqtaklze);"
"Q20_4","gasuli 12 Tvis ganmavlobaSi daeswariT Tu ara raime kulturul RonisZiebas? Tu diax, romel kulturul RonisZiebas? - viyavi simReris koncertze;"
"Q20_5","gasuli 12 Tvis ganmavlobaSi daeswariT Tu ara raime kulturul RonisZiebas? Tu diax, romel kulturul RonisZiebas? - viyavi cekvis koncertze;"
"Q20_6","gasuli 12 Tvis ganmavlobaSi daeswariT Tu ara raime kulturul RonisZiebas? Tu diax, romel kulturul RonisZiebas? - viyavi operaSi (saopero/sabaleto speqtaklze);"
"Q20_7","gasuli 12 Tvis ganmavlobaSi daeswariT Tu ara raime kulturul RonisZiebas? Tu diax, romel kulturul RonisZiebas? - sxva"
"Q20_8","gasuli 12 Tvis ganmavlobaSi daeswariT Tu ara raime kulturul RonisZiebas? Tu diax, romel kulturul RonisZiebas? - ar mimiRia msgavs RonisZiebebSi monawileoba"
"Q20_O","gasuli 12 Tvis ganmavlobaSi daeswariT Tu ara raime kulturul RonisZiebas? Tu diax, romel kulturul RonisZiebas? - sxva (teqsti)"
"Q21_R1","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba kulturuli memkvidreobis ZeglebTan dakavSirebul Semdeg RonisZiebebSi? - Zeglis Sesaxeb informaciis miReba"
"Q21_R2","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba kulturuli memkvidreobis ZeglebTan dakavSirebul Semdeg RonisZiebebSi? - aRdgeniTi samuSaoebi"
"Q21_R3","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba kulturuli memkvidreobis ZeglebTan dakavSirebul Semdeg RonisZiebebSi? - movla-patronoba"
"Q21_R4","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba kulturuli memkvidreobis ZeglebTan dakavSirebul Semdeg RonisZiebebSi? - ZeglTan dakavSirebuli sxva aqtivoba"
"Q21_R4_O","gasuli 12 Tvis ganmavlobaSi migiRiaT Tu ara monawileoba kulturuli memkvidreobis ZeglebTan dakavSirebul Semdeg RonisZiebebSi? - ZeglTan dakavSirebuli sxva aqtivoba (teqsti)"
"Q22","asrulebdiT Tu ara gasuli 7 dRis Tundac erTi saaTis ganmavlobaSi raime samuSaos damoukideblad an sxvebTan erTad xelfasis, mogebis an sxva SromiTi Semosavlebis (fuladi an naturis saxiT) misaRebad qveynis farglebs SigniT?"
"Q23","SeiZleba gasuli 7 dRis ganmavlobaSi, qveynis farglebs SigniT Tundac erTi saaTiT asrulebdiT sasoflo-sameurneo samuSaoebs, an nadirobdiT, TevzaobdiT, agrovebdiT tyis xils, sokos, samkurnalo mcenareebs da a.S. sakuTari moxmarebisaTvis an gasayidad?"
"Q24","gasuli 7 dRis Tundac erTi saaTis ganmavlobaSi  xom ar eweodiT, qveynis farglebs SigniT, sakuTari moxmarebisaTvis an gasayidad sasoflo-sameurneo produqtebis gadamuSavebas, kalaTebis, qudebis dawvnas, cocxebis damzadebas, qsovas, kervas da a. S.?"
"Q25","gasuli 7 dRis Tundac erTi saaTis ganmavlobaSi xom ar eweodiT sakuTari sacxovrebeli an sameurneo obieqtebis aSeneba-miSenebas, xelosnobas, moswavleebis momzadebas (repetitorobas), saeqimo-samkurnalo praqtikas, samgzavro an satvirTo satransporto momsaxureba"
"Q26","gasuli 7 dRis Tundac erTi saaTis ganmavlobaSi asrulebdiT Tu ara usasyidlod raime samuSaos, sawarmoSi an meurneobaSi, romelic ekuTvnis Tqvens Sinameurneobas an asrulebdiT raime samuSaos mezobluri an naTesauri urTierTdaxmarebis saxiT, xelobis swavlebas da s"
"Q27","gqondaT Tu ara samuSao an saqme, romelsac gasul 7 dReSi droebiT ver asrulebdiT avadmyofobis, SvebulebaSi yofnis, swavlis, warmoebis droebiTi gaCerebis an sxva mizezebiT, qveynis farglebs SigniT?"
"Q28","asrulebdiT Tu ara raime anazRaurebad samuSaos gasuli 7 dRis ganmavlobaSi qveynis farglebs gareT?"
"Q29","saqmianobis saxe"
"Q30","gTxovT gvipasuxoT, visi sakuTrebaa sawarmo, dawesebuleba, meurneoba, an saqme, sadac saqmianobdiT gasul Svid dReSi?"
"Q30_O","gTxovT gvipasuxoT, visi sakuTrebaa sawarmo, dawesebuleba, meurneoba, an saqme, sadac saqmianobdiT gasul Svid dReSi? (teqsti)"
"Q31","gTxovT gvipasuxoT, dasaqmebis qvemoTCamoTvlil saxeebidan romels miakuTvnebdiT gasul Svid dReSi Tqvens saqmianobas"
"Q31_O","gTxovT gvipasuxoT, dasaqmebis qvemoTCamoTvlil saxeebidan romels miakuTvnebdiT gasul Svid dReSi Tqvens saqmianobas (teqsti)"
"Q32","Tqvens ZiriTad samuSaoze (kerZo saqmeSi, sakuTar meurneobaSi saqmianobisas) erT kviraSi Cveulebriv ramdeni samuSao saaTi gaqvT, Sesvenebis drois gamoklebiT?"
"Q33","cdilobdiT Tu ara xelfasiani samuSaos moZebnas an sakuTari saqmis wamowyebas gasuli 4 kviris ganmavlobaSi?"
"Q33_O","cdilobdiT Tu ara xelfasiani samuSaos moZebnas an sakuTari saqmis wamowyebas gasuli 4 kviris ganmavlobaSi? (teqsti)"
"Q33_2","cdilobdiT Tu ara xelfasiani samuSaos moZebnas an sakuTari saqmis wamowyebas gasuli 4 kviris ganmavlobaSi?"
"Q33_2_O","cdilobdiT Tu ara xelfasiani samuSaos moZebnas an sakuTari saqmis wamowyebas gasuli 4 kviris ganmavlobaSi? (teqsti)"
"Q34","ra mizeziT ar eZebdiT daqiravebiT samuSaos an ratom ar cdilobdiT sakuTari saqmis wamowyebas (gasuli oTxi kviris ganmavlobaSi)?"
"Q34_O","ra mizeziT ar eZebdiT daqiravebiT samuSaos an ratom ar cdilobdiT sakuTari saqmis wamowyebas (gasuli oTxi kviris ganmavlobaSi)? (teqsti)"
"Q35","gasul 7 dReSi rom geSovnaT Sesaferisi samuSao an saqme, SegeZloT Tu ara dagewyoT muSaoba an wamogewyoT sakuTari saqme uaxloes or kviraSi?"
"Q36","ramdeni xania rac dausaqmebeli xarT?"
"Q37_1","romeli tipis saganmanaTleblo dawesebulebaSi Caricxvis meqanizmebis Sesaxeb gaqvT informacia da iciT maTi servisebis Sesaxeb? - skola;"
"Q37_2","romeli tipis saganmanaTleblo dawesebulebaSi Caricxvis meqanizmebis Sesaxeb gaqvT informacia da iciT maTi servisebis Sesaxeb? - liceumi (profsaswavlebeli, profesiuli saganmanaTleblo dawesebuleba);"
"Q37_3","romeli tipis saganmanaTleblo dawesebulebaSi Caricxvis meqanizmebis Sesaxeb gaqvT informacia da iciT maTi servisebis Sesaxeb? - teqnikumi (koleji);"
"Q37_4","romeli tipis saganmanaTleblo dawesebulebaSi Caricxvis meqanizmebis Sesaxeb gaqvT informacia da iciT maTi servisebis Sesaxeb? - umaRlesi saganmanaTleblo dawesebuleba (bakalavriati, magistratura, doqtorantura);"
"Q37_5","romeli tipis saganmanaTleblo dawesebulebaSi Caricxvis meqanizmebis Sesaxeb gaqvT informacia da iciT maTi servisebis Sesaxeb? - araformaluri ganaTlebis mimwodebeli;"
"Q37_6","romeli tipis saganmanaTleblo dawesebulebaSi Caricxvis meqanizmebis Sesaxeb gaqvT informacia da iciT maTi servisebis Sesaxeb? - arc erTi"
"Q38_1","SegiwyvetiaT Tu ara swavla romelime saswavlo dawesebulebaSi? - skola;"
"Q38_2","SegiwyvetiaT Tu ara swavla romelime saswavlo dawesebulebaSi? - liceumi (profsaswavlebeli, profesiuli saganmanaTleblo dawesebuleba);"
"Q38_3","SegiwyvetiaT Tu ara swavla romelime saswavlo dawesebulebaSi? - teqnikumi (koleji);"
"Q38_4","SegiwyvetiaT Tu ara swavla romelime saswavlo dawesebulebaSi? - umaRlesi saganmanaTleblo dawesebuleba (bakalavriati, magistratura, doqtorantura);"
"Q38_5","SegiwyvetiaT Tu ara swavla romelime saswavlo dawesebulebaSi? - araformaluri ganaTlebis mimwodebeli;"
"Q38_6","SegiwyvetiaT Tu ara swavla romelime saswavlo dawesebulebaSi? - ara, ar Semiwyvetia"
"Q39_1","dauflebulxarT Tu ara raime profesias da sad? - liceumi (profsaswavlebeli, profesiuli saganmanaTleblo dawesebuleba);"
"Q39_2","dauflebulxarT Tu ara raime profesias da sad? - teqnikumi (koleji);"
"Q39_3","dauflebulxarT Tu ara raime profesias da sad? - umaRlesi saganmanaTleblo dawesebuleba (bakalavriati, magistratura, doqtorantura);"
"Q39_4","dauflebulxarT Tu ara raime profesias da sad? - araformaluri ganaTlebis mimwodebeli;"
"Q39_5","dauflebulxarT Tu ara raime profesias da sad? - ara"
"Q40","gaqvT Tu ara informacia swavlis sazRvargareT gagrZelebisaTvis, saxelmwifos mier mxardaWerili proeqtebis Sesaxeb?"
"Q41_1","gicdiaT Tu ara msgavsi proeqtebis Sesaxeb informaciis moZieba?"
"Q41_2","gicdiaT Tu ara msgavsi proeqtebis Sesaxeb informaciis moZieba?"
"Q41_3","gicdiaT Tu ara msgavsi proeqtebis Sesaxeb informaciis moZieba?"
"Q41_4","gicdiaT Tu ara msgavsi proeqtebis Sesaxeb informaciis moZieba?"
"Q41_5","gicdiaT Tu ara msgavsi proeqtebis Sesaxeb informaciis moZieba?"
"Q41_6","gicdiaT Tu ara msgavsi proeqtebis Sesaxeb informaciis moZieba?"
"Q41_O","gicdiaT Tu ara msgavsi proeqtebis Sesaxeb informaciis moZieba? (teqsti)"
"Q42","gaqvT Tu ara zogadi informacia, saqarTvelos farglebSi fakultetis an saswavleblis gamocvlis meqanizmebis da/an procedurebis Sesaxeb (mobiloba)?"
"Weight","respondentis wona (kg)"
"Height","respondentis simaRle (sm)"
"Q43","gasuli 12 Tvis ganmavlobaSi mimarTeT Tu ara raime samedicino dawesebulebas/eqims?"
"Q44","ra saxis samedicino dawesebulebas mimarTeT ukanaskneli vizitisas?"
"Q44_O","ra saxis samedicino dawesebulebas mimarTeT ukanaskneli vizitisas? (teqsti)"
"Q45","xarT Tu ara kmayofili miRebuli momsaxurebiT ukanaskneli vizitisas?"
"Q46","Tu amis saWiroeba iyo, miiReT Tu ara informacia Tu sad unda migeRoT Semdgomi momsaxureba (specifikuri samedicino, fsiqo-socialuri)?"
"Q47","mogawodaT Tu ara eqimma informacia jansaRi cxovrebis wesis Sesaxeb (igulisxmeba rogorc sityvieri, aseve informaciuli masalebis saSualebiT)?"
"Q48_1","ra saxiT iyo mowodebuli informacia? - sityvierad;"
"Q48_2","ra saxiT iyo mowodebuli informacia? - bukleti;"
"Q48_3","ra saxiT iyo mowodebuli informacia? - broSura;"
"Q48_4","ra saxiT iyo mowodebuli informacia? - video masala;"
"Q48_5","ra saxiT iyo mowodebuli informacia? - plakati;"
"Q48_6","ra saxiT iyo mowodebuli informacia? - sxva"
"Q48_O","ra saxiT iyo mowodebuli informacia? - sxva (teqsti)"
"Q49","yofila Tu ara gasuli 12 Tvis ganmavlobaSi SemTxveva, rodesac dagWirdaT da ar/ver mimarTeT samedicino dawesebulebas/eqims?"
"Q50_1","ratom ar/ver mimarTeT? - ar miviCnie seriozulad;"
"Q50_2","ratom ar/ver mimarTeT? - maleve gavxdi ukeTesad;"
"Q50_3","ratom ar/ver mimarTeT? - ver mivedi dawesebulebaSi misi adgilmdebareobis gamo;"
"Q50_4","ratom ar/ver mimarTeT? - ver mivedi dawesebulebaSi imis gamo, rom ar iyo mosaxerxebeli (aramosaxerxebeli samuSao saaTebi, rigSi dgoma da a. S.);"
