num,,
a9_1_9,What is the type of this insurance,a9_1_9
a9_1_10,What is the type of this insurance,a9_1_10
a9_1_11,What is the type of this insurance,a9_1_11
a9_1_12,What is the type of this insurance,a9_1_12
a9_1_13,What is the type of this insurance,a9_1_13
a9_2_1,What is the type of this insurance,a9_2_1
a9_2_2,What is the type of this insurance,a9_2_2
a10_1,Achieved education level,a10_1
a10_2,Achieved education level,a10_2
a10_3,Achieved education level,a10_3
a10_4,Achieved education level,a10_4
a10_5,Achieved education level,a10_5
a10_6,Achieved education level,a10_6
a10_7,Achieved education level,a10_7
a10_8,Achieved education level,a10_8
a10_9,Achieved education level,a10_9
a10_10,Achieved education level,a10_10
a10_11,Achieved education level,a10_11
a10_12,Achieved education level,a10_12
a10_13,Achieved education level,a10_13
a10_14,Achieved education level,a10_14
a11_1,"During last week was he/she engaged in any activity, even only for one hour?",a11_1
a11_2,"During last week was he/she engaged in any activity, even only for one hour?",a11_2
a11_3,"During last week was he/she engaged in any activity, even only for one hour?",a11_3
a11_4,"During last week was he/she engaged in any activity, even only for one hour?",a11_4
a11_5,"During last week was he/she engaged in any activity, even only for one hour?",a11_5
a11_6,"During last week was he/she engaged in any activity, even only for one hour?",a11_6
a11_7,"During last week was he/she engaged in any activity, even only for one hour?",a11_7
a11_8,"During last week was he/she engaged in any activity, even only for one hour?",a11_8
a11_9,"During last week was he/she engaged in any activity, even only for one hour?",a11_9
a11_10,"During last week was he/she engaged in any activity, even only for one hour?",a11_10
a11_11,"During last week was he/she engaged in any activity, even only for one hour?",a11_11
a11_12,"During last week was he/she engaged in any activity, even only for one hour?",a11_12
a11_13,"During last week was he/she engaged in any activity, even only for one hour?",a11_13
a11_14,"During last week was he/she engaged in any activity, even only for one hour?",a11_14
a12_1,What type of the job was it?,a12_1
a12_2,What type of the job was it?,a12_2
a12_3,What type of the job was it?,a12_3
a12_4,What type of the job was it?,a12_4
a12_5,What type of the job was it?,a12_5
a12_6,What type of the job was it?,a12_6
a12_7,What type of the job was it?,a12_7
a12_8,What type of the job was it?,a12_8
a12_9,What type of the job was it?,a12_9
a12_10,What type of the job was it?,a12_10
a12_11,What type of the job was it?,a12_11
a12_12,What type of the job was it?,a12_12
a12_13,What type of the job was it?,a12_13
a12_14,What type of the job was it?,a12_14
a13_1,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_1
a13_2,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_2
a13_3,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_3
a13_4,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_4
a13_5,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_5
a13_6,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_6
a13_7,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_7
a13_8,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_8
a13_9,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_9
a13_10,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_10
a13_11,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_11
a13_12,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_12
a13_13,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_13
a13_14,Did he/she try to find/start a paid (in cash or in kind) job during last week?,a13_14
a14_1,Why did not he/she try?,a14_1
a14_2,Why did not he/she try?,a14_2
a14_3,Why did not he/she try?,a14_3
a14_4,Why did not he/she try?,a14_4
a14_5,Why did not he/she try?,a14_5
a14_6,Why did not he/she try?,a14_6
a14_7,Why did not he/she try?,a14_7
a14_8,Why did not he/she try?,a14_8
a14_9,Why did not he/she try?,a14_9
a14_10,Why did not he/she try?,a14_10
a14_11,Why did not he/she try?,a14_11
a14_12,Why did not he/she try?,a14_12
a14_13,Why did not he/she try?,a14_13
a14_14,Why did not he/she try?,a14_14
a15_1,Did he/she lose a job during last year?,a15_1
a15_2,Did he/she lose a job during last year?,a15_2
a15_3,Did he/she lose a job during last year?,a15_3
a15_4,Did he/she lose a job during last year?,a15_4
a15_5,Did he/she lose a job during last year?,a15_5
a15_6,Did he/she lose a job during last year?,a15_6
a15_7,Did he/she lose a job during last year?,a15_7
a15_8,Did he/she lose a job during last year?,a15_8
a15_9,Did he/she lose a job during last year?,a15_9
a15_10,Did he/she lose a job during last year?,a15_10
a15_11,Did he/she lose a job during last year?,a15_11
a15_12,Did he/she lose a job during last year?,a15_12
a15_13,Did he/she lose a job during last year?,a15_13
a15_14,Did he/she lose a job during last year?,a15_14
a16_1,What type of the job was it?,a16_1
a16_2,What type of the job was it?,a16_2
a16_3,What type of the job was it?,a16_3
a16_4,What type of the job was it?,a16_4
a16_5,What type of the job was it?,a16_5
a16_6,What type of the job was it?,a16_6
a16_7,What type of the job was it?,a16_7
a16_8,What type of the job was it?,a16_8
a16_9,What type of the job was it?,a16_9
a16_10,What type of the job was it?,a16_10
a16_11,What type of the job was it?,a16_11
a16_12,What type of the job was it?,a16_12
a16_13,What type of the job was it?,a16_13
a16_14,What type of the job was it?,a16_14
a17,Does any household member have a child(ren) below 18 that live outside the house,a17
a18_1,Where does the child live curremtly?,a18_1
a18_2,Where does the child live curremtly?,a18_2
a18_3,Where does the child live curremtly?,a18_3
b1,The dwelling of the household consists of              rooms,
b2,The total area of the dwelling of the household is,
b3,What is the ownership type of the household's dwelling?,b3
b4,What is the type of the dwelling?,b4
b5_1_1,Available or not  - Water supply,b5_1_1
b5_1_2,Available or not  - Hot water,b5_1_2
b5_1_3,Available or not  - Electricity,b5_1_3
b5_1_4,Available or not  - Gas supply,b5_1_4
b5_1_5,Available or not  - Sewerage,b5_1_5
b5_1_6,Available or not  - Waste disposal,b5_1_6
b5_1_7,Available or not  - Toilet,b5_1_7
b5_1_8,Available or not  - Bathroom,b5_1_8
b5_2_1,Is it inside or outside the house (flat)  - cold water,b5_2_1
b5_2_2,Is it inside or outside the house (flat)  - hot water,b5_2_2
b5_2_7,Is it inside or outside the house (flat)  - Toilet,b5_2_7
b5_2_8,Is it inside or outside the house (flat)  - Bathroom,b5_2_8
b5_3_1,Central (common) or individual  - Water supply,b5_3_1
b5_3_2,Central (common) or individual  - Hot water,b5_3_2
b5_3_3,Central (common) or individual  - Electricity,b5_3_3
b5_3_4,Central (common) or individual  - Gas supply,b5_3_4
b5_3_5,Central (common) or individual  - Sewerage,b5_3_5
b5_3_6,Central (common) or individual  - Waste disposal,b5_3_6
b5_3_7,Central (common) or individual  - Toilet,b5_3_7
b5_3_8,Central (common) or individual  - Bathroom,b5_3_8
b5_4_1,How many hours per day is the facility available? - Water supply,b5_4_1
b5_4_2,How many hours per day is the facility available? - Hot water,b5_4_2
b5_4_3,How many hours per day is the facility available? - Electricity,b5_4_3
b5_4_4,How many hours per day is the facility available? - Gas supply,b5_4_4
b5_4_5,How many hours per day is the facility available? - Sewerage,b5_4_5
b5_4_6,How many hours per day is the facility available? - Waste disposal,b5_4_6
b5_4_7,How many hours per day is the facility available? - Toilet,b5_4_7
b5_4_8,How many hours per day is the facility available? - Bathroom,b5_4_8
b5_5_1,How would you evaluate the quality of performance? - Water supply,b5_5_1
b5_5_2,How would you evaluate the quality of performance? - Hot water,b5_5_2
b5_5_3,How would you evaluate the quality of performance? - Electricity,b5_5_3
b5_5_4,How would you evaluate the quality of performance? - Gas supply,b5_5_4
b5_5_5,How would you evaluate the quality of performance? - Sewerage,b5_5_5
b5_5_6,How would you evaluate the quality of performance? - Waste disposal,b5_5_6
b5_5_7,How would you evaluate the quality of performance? - Toilet,b5_5_7
b5_5_8,How would you evaluate the quality of performance? - Bathroom,b5_5_8
b6,To what extent did you manage to heat the dwelling during the past winter?,b6
b7_1_1,Main heating means,b7_1_1
b7_2_1,Auxiliary heating means,b7_2_1
b7_2_2,Auxiliary heating means,b7_2_2
b8_1,Problem -  The roof is very damaged and water leaks through it,b8_1
b8_2,Problem -  The floor/walls are very damaged,b8_2
b8_3,Problem -  There is an  earth floor,b8_3
b8_4,Problem -  The dwelling is damp,b8_4
b8_5,Problem -  The windows are broken,b8_5
b8_6,Problem -  The light is insufficient,b8_6
b8_7,Problem -  It is noisy,b8_7
b8_8,Problem -  The dwelling is too small for our household,b8_8
b8_9,Problem -  Other,b8_9
b9,Do you own other dwelling apart from this one?,b9
b10,How do you use that dwelling?,b10
c1_1,"Automobile (of all types \x96 car, truck, bus etc.)",
c1_2,"Tractor (of all types, combine harvester or sowing machine, mini tractor)",
c1_3,Mobile phone,
c1_4,Washing machine,
c1_5,Black &White TV set,
c1_6,Color TV set,
c1_7,Refrigerator,
c1_8,Gas stove,
c1_9,Vacuum cleaner,
c1_10,Iron,
c1_11,Electric water heater (tank),
c1_12,Gas water heater,
c1_13,Individual system of heating and hot water,
c1_14,Microwave oven,
c1_15,Personal computer,
c1_16,Internet,
c1_17,Compact disk stereo cassette record player,
c1_18,Video camera or  digital photo camera,
c1_19,Video record-player or DVD player,
c1_20,Electric generator,
c1_21,Satellite dish,
c1_22,Air conditioner,
c1_23,Piano or grand piano,
c1_24,Toaster,
c1_25,Dishwasher,
c1_26,Kitchen unit,
c2,Do you possess livestock?,c2
c3_1,"Cows, buffalos",
c3_2,Calves,
c3_3,"Horses, oxen",
c3_4,Foals,
c3_5,"Sheep, goats",
c3_6,"Lambs, kids",
c3_7,Rabbits,
c3_8,Young rabbits,
c3_9,All types of poultry,
c3_10,Poults,
c3_11,Pigs,
c3_12,Piglets,
c3_13,Asses and mules,
c3_14,Foals,
c3_15,Beehives,
c4,Do you own and/or cultivate agricultral land?,c4
c5_1_1,Vineyard (ha) - Own,
c5_1_2,Vineyard (ha) - Rented,
c5_1_3,Vineyard (ha) - Owned by others,
c5_2_1,Orchard (ha) - Own,
c5_2_2,Orchard (ha) - Rented,
c5_2_3,Orchard (ha) - Owned by others,
c5_3_1,"Wheat, sunflower (ha) - Own",
c5_3_2,"Wheat, sunflower (ha) - Rented",
c5_3_3,"Wheat, sunflower (ha) - Owned by others",
c5_4_1,Maize (ha) - Own,
c5_4_2,Maize (ha) - Rented,
c5_4_3,Maize (ha) - Owned by others,
c5_5_1,Potato (ha) - Own,
c5_5_2,Potato (ha) - Rented,
c5_5_3,Potato (ha) - Owned by others,
c5_6_1,Hazelnut (ha) - Own,
c5_6_2,Hazelnut (ha) - Rented,
c5_6_3,Hazelnut (ha) - Owned by others,
c5_7_1,"Citrus, kiwi, feijoa plantations (ha) - Own",
c5_7_2,"Citrus, kiwi, feijoa plantations (ha) - Rented",
c5_7_3,"Citrus, kiwi, feijoa plantations (ha) - Owned by others",
c5_8_1,Tea plantation (ha) - Own,
c5_8_2,Tea plantation (ha) - Rented,
c5_8_3,Tea plantation (ha) - Owned by others,
c5_9_1,"Haricot beans, soybeans (ha) - Own",
c5_9_2,"Haricot beans, soybeans (ha) - Rented",
c5_9_3,"Haricot beans, soybeans (ha) - Owned by others",
c5_10_1,Vegetable garden (sq.m.) - Own,
c5_10_2,Vegetable garden (sq.m.) - Rented,
c5_10_3,Vegetable garden (sq.m.) - Owned by others,
c5_11_1,Greenhouse (sq.m.) - Own,
c5_11_2,Greenhouse (sq.m.) - Rented,
c5_11_3,Greenhouse (sq.m.) - Owned by others,
c5_12_1,Tobacco (ha) - Own,
c5_12_2,Tobacco (ha) - Rented,
c5_12_3,Tobacco (ha) - Owned by others,
c5_13_1,Meadow for gathering hay (ha) - Own,
c5_13_2,Meadow for gathering hay (ha) - Rented,
c5_13_3,Meadow for gathering hay (ha) - Owned by others,
c5_14_1,Pasture (ha) - Own,
c5_14_2,Pasture (ha) - Rented,
c5_14_3,Pasture (ha) - Owned by others,
c5_15_1,Other crops (ha) - Own,
c5_15_2,Other crops (ha) - Rented,
c5_15_3,Other crops (ha) - Owned by others,
c5_16_1,I own/rent a land which I do not cultivate - Own,
c5_16_2,I own/rent a land which I do not cultivate - Rented,
c5_16_3,I own/rent a land which I do not cultivate - Owned by others,
d1_1_1,Salary (including all remuneration),
d1_1_2,Salary (including all remuneration),
d1_1_3,Salary (including all remuneration),
d1_1_4,Salary (including all remuneration),
d1_1_5,Salary (including all remuneration),
d1_1_6,Salary (including all remuneration),
d1_1_7,Salary (including all remuneration),
d1_1_8,Salary (including all remuneration),
d1_1_9,Salary (including all remuneration),
d1_1_10,Salary (including all remuneration),
d1_2_1,Income from private business,
d1_2_2,Income from private business,
d1_2_3,Income from private business,
d1_2_4,Income from private business,
d1_2_5,Income from private business,
d1_2_6,Income from private business,
d1_2_7,Income from private business,
d1_2_8,Income from private business,
d1_2_9,Income from private business,
d1_2_10,Income from private business,
d1_3_1,Pension (including all types of allowances),
d1_3_2,Pension (including all types of allowances),
d1_3_3,Pension (including all types of allowances),
d1_3_4,Pension (including all types of allowances),
d1_3_5,Pension (including all types of allowances),
d1_3_6,Pension (including all types of allowances),
d1_3_7,Pension (including all types of allowances),
d1_3_8,Pension (including all types of allowances),
d1_3_9,Pension (including all types of allowances),
d1_3_10,Pension (including all types of allowances),
d1_3_11,Pension (including all types of allowances),
d1_4_1,Scholarship,
d1_4_2,Scholarship,
d1_4_3,Scholarship,
d1_4_4,Scholarship,
d1_4_5,Scholarship,
d1_4_6,Scholarship,
d1_5_1,Alimony,
d1_5_2,Alimony,
d1_5_3,Alimony,
d1_5_4,Alimony,
d1_5_5,Alimony,
d1_6_1,IDP assistance,
d1_6_2,IDP assistance,
d1_6_3,IDP assistance,
d1_6_4,IDP assistance,
d1_6_5,IDP assistance,
d1_6_6,IDP assistance,
d1_6_7,IDP assistance,
d1_6_8,IDP assistance,
d1_6_9,IDP assistance,
d1_7_1,Social assistance to multi-children family,
d1_7_2,Social assistance to multi-children family,
d1_7_3,Social assistance to multi-children family,
d1_7_4,Social assistance to multi-children family,
d1_7_5,Social assistance to multi-children family,
d1_7_6,Social assistance to multi-children family,
d1_7_7,Social assistance to multi-children family,
d1_7_8,Social assistance to multi-children family,
d1_7_9,Social assistance to multi-children family,
d1_7_10,Social assistance to multi-children family,
d1_8_1,Social assistance to an orphan that has lost both parents,
d1_8_2,Social assistance to an orphan that has lost both parents,
d1_8_3,Social assistance to an orphan that has lost both parents,
d1_8_4,Social assistance to an orphan that has lost both parents,
d1_8_5,Social assistance to an orphan that has lost both parents,
d1_8_6,Social assistance to an orphan that has lost both parents,
d1_9_1,Social assistance to first degree disabled (blind),
d1_9_2,Social assistance to first degree disabled (blind),
d1_9_3,Social assistance to first degree disabled (blind),
d1_9_4,Social assistance to first degree disabled (blind),
d1_9_5,Social assistance to first degree disabled (blind),
d1_9_6,Social assistance to first degree disabled (blind),
d1_10_1,Social assistance to a single unemployed pensioner or to a family consisting onl,
d1_10_2,Social assistance to a single unemployed pensioner or to a family consisting onl,
d1_10_3,Social assistance to a single unemployed pensioner or to a family consisting onl,
d1_10_4,Social assistance to a single unemployed pensioner or to a family consisting onl,
d1_10_5,Social assistance to a single unemployed pensioner or to a family consisting onl,
d1_11_1,Social assistance to children having disability status,
d1_11_2,Social assistance to children having disability status,
d1_11_3,Social assistance to children having disability status,
d1_11_4,Social assistance to children having disability status,
d1_11_5,Social assistance to children having disability status,
d1_11_6,Social assistance to children having disability status,
d1_11_7,Social assistance to children having disability status,
d1_11_8,Social assistance to children having disability status,
d1_11_9,Social assistance to children having disability status,
d1_11_10,Social assistance to children having disability status,
d1_12_1,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_2,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_3,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_4,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_5,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_6,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_7,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_8,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_9,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_10,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_11,Social assistance to  vulnerable families (so called subsistence assistance),
d1_12_12,Social assistance to  vulnerable families (so called subsistence assistance),
d1_13_1,Prevention and reintegration allowence,
d1_13_2,Prevention and reintegration allowence,
d1_13_3,Prevention and reintegration allowence,
d1_13_4,Prevention and reintegration allowence,
d1_13_5,Prevention and reintegration allowence,
d1_13_6,Prevention and reintegration allowence,
d1_13_7,Prevention and reintegration allowence,
d1_13_8,Prevention and reintegration allowence,
d1_14_1,Other social assistance,
d1_14_2,Other social assistance,
d1_14_3,Other social assistance,
d1_14_4,Other social assistance,
d1_14_5,Other social assistance,
d1_14_6,Other social assistance,
d1_14_7,Other social assistance,
d1_14_8,Other social assistance,
d1_15_1,Other regular cash income,
d1_15_2,Other regular cash income,
d1_15_3,Other regular cash income,
d1_15_4,Other regular cash income,
d1_15_5,Other regular cash income,
d1_15_6,Other regular cash income,
d1_15_7,Other regular cash income,
d2_1,"From selling domestic animals or their products (milk, eggs, meat, cheese, butte",
d2_2,From selling other agricultural products or goods processed from the latter (win,
d2_3,"From renting out property (flat, summerhouse, car, etc.)",
d2_4,"From selling property (flat, summerhouse, car, etc.)",
d2_5,Cash assistance from children/grandchildren or parents living in Georgia,
d2_6,Cash assistance from other relatives living in Georgia,
d2_7,"Cash assistance from non-relatives living in Georgia (friend, neighbor, etc.)",
d2_8,Cash assistance from children/grandchildren or parents living abroad,
d2_9,Cash assistance from other relatives living abroad,
d2_10,"Cash assistance from non-relatives living abroad (friend, neighbor etc.)",
d2_11,"Total of other non-regular cash income (seasonal, one-time, etc.) of household m",
e1_1,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_1
e1_2,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_2
e1_3,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_3
e1_4,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_4
e1_5,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_5
e1_6,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_6
e1_7,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_7
e1_8,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_8
e1_9,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_9
e1_10,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_10
e1_11,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_11
e1_12,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_12
e1_13,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_13
e1_14,"Did he/she attend any educational institu-tion, visited a tutor or a circle duri",e1_14
e2_1_1,Which educational institution did he/she at-tend?,e2_1_1
e2_1_2,Which educational institution did he/she at-tend?,e2_1_2
e2_1_3,Which educational institution did he/she at-tend?,e2_1_3
e2_1_4,Which educational institution did he/she at-tend?,e2_1_4
e2_1_5,Which educational institution did he/she at-tend?,e2_1_5
e2_1_6,Which educational institution did he/she at-tend?,e2_1_6
e2_1_7,Which educational institution did he/she at-tend?,e2_1_7
e2_1_8,Which educational institution did he/she at-tend?,e2_1_8
e2_1_9,Which educational institution did he/she at-tend?,e2_1_9
e2_1_10,Which educational institution did he/she at-tend?,e2_1_10
e2_1_11,Which educational institution did he/she at-tend?,e2_1_11
e2_1_12,Which educational institution did he/she at-tend?,e2_1_12
e2_1_13,Which educational institution did he/she at-tend?,e2_1_13
e2_1_14,Which educational institution did he/she at-tend?,e2_1_14
e2_2_1,Which educational institution did he/she at-tend?,e2_2_1
e2_2_2,Which educational institution did he/she at-tend?,e2_2_2
e2_2_3,Which educational institution did he/she at-tend?,e2_2_3
e2_2_4,Which educational institution did he/she at-tend?,e2_2_4
e2_2_5,Which educational institution did he/she at-tend?,e2_2_5
e2_2_6,Which educational institution did he/she at-tend?,e2_2_6
e2_2_7,Which educational institution did he/she at-tend?,e2_2_7
e2_2_8,Which educational institution did he/she at-tend?,e2_2_8
e2_2_9,Which educational institution did he/she at-tend?,e2_2_9
e2_2_10,Which educational institution did he/she at-tend?,e2_2_10
e2_3_1,Which educational institution did he/she at-tend?,e2_3_1
e2_3_2,Which educational institution did he/she at-tend?,e2_3_2
e2_3_3,Which educational institution did he/she at-tend?,e2_3_3
e2_3_4,Which educational institution did he/she at-tend?,e2_3_4
e2_3_5,Which educational institution did he/she at-tend?,e2_3_5
e2_3_6,Which educational institution did he/she at-tend?,e2_3_6
e2_3_7,Which educational institution did he/she at-tend?,e2_3_7
e2_4_1,Which educational institution did he/she at-tend?,e2_4_1
e2_4_2,Which educational institution did he/she at-tend?,e2_4_2
e2_4_3,Which educational institution did he/she at-tend?,e2_4_3
e2_4_4,Which educational institution did he/she at-tend?,e2_4_4
e2_4_5,Which educational institution did he/she at-tend?,e2_4_5
e2_4_6,Which educational institution did he/she at-tend?,e2_4_6
e2_4_7,Which educational institution did he/she at-tend?,e2_4_7
e2_4_8,Which educational institution did he/she at-tend?,e2_4_8
e3_1_1,Who financed the education?,e3_1_1
e3_1_2,Who financed the education?,e3_1_2
e3_1_3,Who financed the education?,e3_1_3
e3_1_4,Who financed the education?,e3_1_4
e3_1_5,Who financed the education?,e3_1_5
e3_1_6,Who financed the education?,e3_1_6
e3_1_7,Who financed the education?,e3_1_7
e3_1_8,Who financed the education?,e3_1_8
e3_1_9,Who financed the education?,e3_1_9
e3_1_10,Who financed the education?,e3_1_10
e3_1_11,Who financed the education?,e3_1_11
e3_1_12,Who financed the education?,e3_1_12
e3_2_1,Who financed the education?,e3_2_1
e3_2_2,Who financed the education?,e3_2_2
e3_2_3,Who financed the education?,e3_2_3
e3_2_4,Who financed the education?,e3_2_4
e3_2_5,Who financed the education?,e3_2_5
e3_2_6,Who financed the education?,e3_2_6
e3_2_7,Who financed the education?,e3_2_7
e3_2_8,Who financed the education?,e3_2_8
e3_2_9,Who financed the education?,e3_2_9
e3_2_10,Who financed the education?,e3_2_10
e3_3_1,Who financed the education?,e3_3_1
e3_3_2,Who financed the education?,e3_3_2
e3_3_3,Who financed the education?,e3_3_3
e3_3_4,Who financed the education?,e3_3_4
e3_3_5,Who financed the education?,e3_3_5
e3_3_6,Who financed the education?,e3_3_6
e3_3_7,Who financed the education?,e3_3_7
e3_3_8,Who financed the education?,e3_3_8
e3_4_1,Who financed the education?,e3_4_1
e3_4_2,Who financed the education?,e3_4_2
e3_4_3,Who financed the education?,e3_4_3
e3_4_4,Who financed the education?,e3_4_4
e3_4_5,Who financed the education?,e3_4_5
e3_4_6,Who financed the education?,e3_4_6
e_4_1_1,How long did it take to get to the educational insti-tution?,
e_4_1_2,How long did it take to get to the educational insti-tution?,
e_4_1_3,How long did it take to get to the educational insti-tution?,
e_4_1_4,How long did it take to get to the educational insti-tution?,
e_4_1_5,How long did it take to get to the educational insti-tution?,
e_4_1_6,How long did it take to get to the educational insti-tution?,
e_4_1_7,How long did it take to get to the educational insti-tution?,
e_4_1_8,How long did it take to get to the educational insti-tution?,
e_4_1_9,How long did it take to get to the educational insti-tution?,
e_4_1_10,How long did it take to get to the educational insti-tution?,
e_4_1_11,How long did it take to get to the educational insti-tution?,
e_4_1_12,How long did it take to get to the educational insti-tution?,
